Admin2,Province_State,Region
Marion,Illinois,
Marshall,Illinois,
Mason,Illinois,
Massac,Illinois,
Menard,Illinois,
Mercer,Illinois,
Monroe,Illinois,
Montgomery,Illinois,
Morgan,Illinois,
Moultrie,Illinois,
Ogle,Illinois,
Peoria,Illinois,
Perry,Illinois,
Piatt,Illinois,
Pike,Illinois,
Pope,Illinois,
Pulaski,Illinois,
Putnam,Illinois,
Randolph,Illinois,
Richland,Illinois,
Rock Island,Illinois,
St. Clair,Illinois,
Saline,Illinois,
Sangamon,Illinois,
Schuyler,Illinois,
Scott,Illinois,
Shelby,Illinois,
Stark,Illinois,
Stephenson,Illinois,
Tazewell,Illinois,
Union,Illinois,
Vermilion,Illinois,
Wabash,Illinois,
Warren,Illinois,
Washington,Illinois,
Wayne,Illinois,
White,Illinois,
Whiteside,Illinois,
Will,Illinois,
Williamson,Illinois,
Winnebago,Illinois,
Woodford,Illinois,
Adams,Indiana,
Allen,Indiana,
Bartholomew,Indiana,
Benton,Indiana,
Blackford,Indiana,
Boone,Indiana,
Brown,Indiana,
Carroll,Indiana,
Cass,Indiana,
Clark,Indiana,
Clay,Indiana,
Clinton,Indiana,
Crawford,Indiana,
Daviess,Indiana,
Dearborn,Indiana,
Decatur,Indiana,
DeKalb,Indiana,
Delaware,Indiana,
Dubois,Indiana,
Elkhart,Indiana,
Fayette,Indiana,
Floyd,Indiana,
Fountain,Indiana,
Franklin,Indiana,
Fulton,Indiana,
Gibson,Indiana,
Grant,Indiana,
Greene,Indiana,
Hamilton,Indiana,
Hancock,Indiana,
Harrison,Indiana,
Hendricks,Indiana,
Henry,Indiana,
Howard,Indiana,
Huntington,Indiana,
Jackson,Indiana,
Jasper,Indiana,
Jay,Indiana,
Jefferson,Indiana,
Jennings,Indiana,
Johnson,Indiana,
Knox,Indiana,
Kosciusko,Indiana,
LaGrange,Indiana,
Lake,Indiana,
LaPorte,Indiana,
Lawrence,Indiana,
Madison,Indiana,
Marion,Indiana,
Marshall,Indiana,
Martin,Indiana,
Miami,Indiana,
Monroe,Indiana,
Montgomery,Indiana,
Morgan,Indiana,
Newton,Indiana,
Noble,Indiana,
Ohio,Indiana,
Orange,Indiana,
Owen,Indiana,
Parke,Indiana,
Perry,Indiana,
Pike,Indiana,
Porter,Indiana,
Posey,Indiana,
Pulaski,Indiana,
Putnam,Indiana,
Randolph,Indiana,
Ripley,Indiana,
Rush,Indiana,
St. Joseph,Indiana,
Scott,Indiana,
Shelby,Indiana,
Spencer,Indiana,
Starke,Indiana,
Steuben,Indiana,
Sullivan,Indiana,
Switzerland,Indiana,
Tippecanoe,Indiana,
Tipton,Indiana,
Union,Indiana,
Vanderburgh,Indiana,
Vermillion,Indiana,
Vigo,Indiana,
Wabash,Indiana,
Warren,Indiana,
Warrick,Indiana,
Washington,Indiana,
Wayne,Indiana,
Wells,Indiana,
White,Indiana,
Whitley,Indiana,
Adair,Iowa,
Adams,Iowa,
Allamakee,Iowa,
Appanoose,Iowa,
Audubon,Iowa,
Benton,Iowa,
Black Hawk,Iowa,
Boone,Iowa,
Bremer,Iowa,
Buchanan,Iowa,
Buena Vista,Iowa,
Butler,Iowa,
Calhoun,Iowa,
Carroll,Iowa,
Cass,Iowa,
Cedar,Iowa,
Cerro Gordo,Iowa,
Cherokee,Iowa,
Chickasaw,Iowa,
Clarke,Iowa,
Clay,Iowa,
Clayton,Iowa,
Clinton,Iowa,
Crawford,Iowa,
Dallas,Iowa,
Davis,Iowa,
Decatur,Iowa,
Delaware,Iowa,
Des Moines,Iowa,
Dickinson,Iowa,
Dubuque,Iowa,
Emmet,Iowa,
Fayette,Iowa,
Floyd,Iowa,
Franklin,Iowa,
Fremont,Iowa,
Greene,Iowa,
Grundy,Iowa,
Guthrie,Iowa,
Hamilton,Iowa,
Hancock,Iowa,
Hardin,Iowa,
Harrison,Iowa,
Henry,Iowa,
Howard,Iowa,
Humboldt,Iowa,
Ida,Iowa,
Iowa,Iowa,
Jackson,Iowa,
Jasper,Iowa,
Jefferson,Iowa,
Johnson,Iowa,
Jones,Iowa,
Keokuk,Iowa,
Kossuth,Iowa,
Lee,Iowa,
Linn,Iowa,
Louisa,Iowa,
Lucas,Iowa,
Lyon,Iowa,
Madison,Iowa,
Mahaska,Iowa,
Marion,Iowa,
Marshall,Iowa,
Mills,Iowa,
Mitchell,Iowa,
Monona,Iowa,
Monroe,Iowa,
Montgomery,Iowa,
Muscatine,Iowa,
O'Brien,Iowa,
Osceola,Iowa,
Page,Iowa,
Palo Alto,Iowa,
Plymouth,Iowa,
Pocahontas,Iowa,
Polk,Iowa,
Pottawattamie,Iowa,
Poweshiek,Iowa,
Ringgold,Iowa,
Sac,Iowa,
Scott,Iowa,
Shelby,Iowa,
Sioux,Iowa,
Story,Iowa,
Tama,Iowa,
Taylor,Iowa,
Union,Iowa,
Van Buren,Iowa,
Wapello,Iowa,
Warren,Iowa,
Washington,Iowa,
Wayne,Iowa,
Webster,Iowa,
Winnebago,Iowa,
Winneshiek,Iowa,
Woodbury,Iowa,
Worth,Iowa,
Wright,Iowa,
Allen,Kansas,
Anderson,Kansas,
Atchison,Kansas,
Barber,Kansas,
Barton,Kansas,
Bourbon,Kansas,
Brown,Kansas,
Butler,Kansas,
Chase,Kansas,
Chautauqua,Kansas,
Cherokee,Kansas,
Cheyenne,Kansas,
Clark,Kansas,
Clay,Kansas,
Cloud,Kansas,
Coffey,Kansas,
Comanche,Kansas,
Cowley,Kansas,
Crawford,Kansas,
Decatur,Kansas,
Dickinson,Kansas,
Doniphan,Kansas,
Douglas,Kansas,
Edwards,Kansas,
Elk,Kansas,
Ellis,Kansas,
Ellsworth,Kansas,
Finney,Kansas,
Ford,Kansas,
Franklin,Kansas,
Geary,Kansas,
Gove,Kansas,
Graham,Kansas,
Grant,Kansas,
Gray,Kansas,
Greeley,Kansas,
Greenwood,Kansas,
Hamilton,Kansas,
Harper,Kansas,
Harvey,Kansas,
Haskell,Kansas,
Hodgeman,Kansas,
Jackson,Kansas,
Jefferson,Kansas,
Jewell,Kansas,
Johnson,Kansas,
Kearny,Kansas,
Kingman,Kansas,
Kiowa,Kansas,
Labette,Kansas,
Lane,Kansas,
Leavenworth,Kansas,
Lincoln,Kansas,
Linn,Kansas,
Logan,Kansas,
Lyon,Kansas,
McPherson,Kansas,
Marion,Kansas,
Marshall,Kansas,
Meade,Kansas,
Miami,Kansas,
Mitchell,Kansas,
Montgomery,Kansas,
Morris,Kansas,
Morton,Kansas,
Nemaha,Kansas,
Neosho,Kansas,
Ness,Kansas,
Norton,Kansas,
Osage,Kansas,
Osborne,Kansas,
Ottawa,Kansas,
Pawnee,Kansas,
Phillips,Kansas,
Pottawatomie,Kansas,
Pratt,Kansas,
Rawlins,Kansas,
Reno,Kansas,
Republic,Kansas,
Rice,Kansas,
Riley,Kansas,
Rooks,Kansas,
Rush,Kansas,
Russell,Kansas,
Saline,Kansas,
Scott,Kansas,
Sedgwick,Kansas,
Seward,Kansas,
Shawnee,Kansas,
Sheridan,Kansas,
Sherman,Kansas,
Smith,Kansas,
Stafford,Kansas,
Stanton,Kansas,
Stevens,Kansas,
Sumner,Kansas,
Thomas,Kansas,
Trego,Kansas,
Wabaunsee,Kansas,
Wallace,Kansas,
Washington,Kansas,
Wichita,Kansas,
Wilson,Kansas,
Woodson,Kansas,
Wyandotte,Kansas,
Adair,Kentucky,
Allen,Kentucky,
Anderson,Kentucky,
Ballard,Kentucky,
Barren,Kentucky,
Bath,Kentucky,
Bell,Kentucky,
Boone,Kentucky,
Bourbon,Kentucky,
Boyd,Kentucky,
Boyle,Kentucky,
Bracken,Kentucky,
Breathitt,Kentucky,
Breckinridge,Kentucky,
Bullitt,Kentucky,
Butler,Kentucky,
Caldwell,Kentucky,
Calloway,Kentucky,
Campbell,Kentucky,
Carlisle,Kentucky,
Carroll,Kentucky,
Carter,Kentucky,
Casey,Kentucky,
Christian,Kentucky,
Clark,Kentucky,
Clay,Kentucky,
Clinton,Kentucky,
Crittenden,Kentucky,
Cumberland,Kentucky,
Daviess,Kentucky,
Edmonson,Kentucky,
Elliott,Kentucky,
Estill,Kentucky,
Fayette,Kentucky,
Fleming,Kentucky,
Floyd,Kentucky,
Franklin,Kentucky,
Fulton,Kentucky,
Gallatin,Kentucky,
Garrard,Kentucky,
Grant,Kentucky,
Graves,Kentucky,
Grayson,Kentucky,
Green,Kentucky,
Greenup,Kentucky,
Hancock,Kentucky,
Hardin,Kentucky,
Harlan,Kentucky,
Harrison,Kentucky,
Hart,Kentucky,
Henderson,Kentucky,
Henry,Kentucky,
Hickman,Kentucky,
Hopkins,Kentucky,
Jackson,Kentucky,
Jefferson,Kentucky,
Jessamine,Kentucky,
Johnson,Kentucky,
Kenton,Kentucky,
Knott,Kentucky,
Knox,Kentucky,
Larue,Kentucky,
Laurel,Kentucky,
Lawrence,Kentucky,
Lee,Kentucky,
Leslie,Kentucky,
Letcher,Kentucky,
Lewis,Kentucky,
Lincoln,Kentucky,
Livingston,Kentucky,
Logan,Kentucky,
Lyon,Kentucky,
McCracken,Kentucky,
McCreary,Kentucky,
McLean,Kentucky,
Madison,Kentucky,
Magoffin,Kentucky,
Marion,Kentucky,
Marshall,Kentucky,
Martin,Kentucky,
Mason,Kentucky,
Meade,Kentucky,
Menifee,Kentucky,
Mercer,Kentucky,
Metcalfe,Kentucky,
Monroe,Kentucky,
Montgomery,Kentucky,
Morgan,Kentucky,
Muhlenberg,Kentucky,
Nelson,Kentucky,
Nicholas,Kentucky,
Ohio,Kentucky,
Oldham,Kentucky,
Owen,Kentucky,
Owsley,Kentucky,
Pendleton,Kentucky,
Perry,Kentucky,
Pike,Kentucky,
Powell,Kentucky,
Pulaski,Kentucky,
Robertson,Kentucky,
Rockcastle,Kentucky,
Rowan,Kentucky,
Russell,Kentucky,
Scott,Kentucky,
Shelby,Kentucky,
Simpson,Kentucky,
Spencer,Kentucky,
Taylor,Kentucky,
Todd,Kentucky,
Trigg,Kentucky,
Trimble,Kentucky,
Union,Kentucky,
Warren,Kentucky,
Washington,Kentucky,
Wayne,Kentucky,
Webster,Kentucky,
Whitley,Kentucky,
Wolfe,Kentucky,
Woodford,Kentucky,
Acadia,Louisiana,
Allen,Louisiana,
Ascension,Louisiana,
Assumption,Louisiana,
Avoyelles,Louisiana,
Beauregard,Louisiana,
Bienville,Louisiana,
Bossier,Louisiana,
Caddo,Louisiana,
Calcasieu,Louisiana,
Caldwell,Louisiana,
Cameron,Louisiana,
Catahoula,Louisiana,
Claiborne,Louisiana,
Concordia,Louisiana,
De Soto,Louisiana,
East Baton Rouge,Louisiana,
East Carroll,Louisiana,
East Feliciana,Louisiana,
Evangeline,Louisiana,
Franklin,Louisiana,
Grant,Louisiana,
Iberia,Louisiana,
Iberville,Louisiana,
Jackson,Louisiana,
Jefferson,Louisiana,
Jefferson Davis,Louisiana,
Lafayette,Louisiana,
Lafourche,Louisiana,
LaSalle,Louisiana,
Lincoln,Louisiana,
Livingston,Louisiana,
Madison,Louisiana,
Morehouse,Louisiana,
Natchitoches,Louisiana,
Orleans,Louisiana,
Ouachita,Louisiana,
Plaquemines,Louisiana,
Pointe Coupee,Louisiana,
Rapides,Louisiana,
Red River,Louisiana,
Richland,Louisiana,
Sabine,Louisiana,
St. Bernard,Louisiana,
St. Charles,Louisiana,
St. Helena,Louisiana,
St. James,Louisiana,
St. John the Baptist,Louisiana,
St. Landry,Louisiana,
St. Martin,Louisiana,
St. Mary,Louisiana,
St. Tammany,Louisiana,
Tangipahoa,Louisiana,
Tensas,Louisiana,
Terrebonne,Louisiana,
Union,Louisiana,
Vermilion,Louisiana,
Vernon,Louisiana,
Washington,Louisiana,
Webster,Louisiana,
West Baton Rouge,Louisiana,
West Carroll,Louisiana,
West Feliciana,Louisiana,
Winn,Louisiana,
Androscoggin,Maine,
Aroostook,Maine,
Cumberland,Maine,
Franklin,Maine,
Hancock,Maine,
Kennebec,Maine,
Knox,Maine,
Lincoln,Maine,
Oxford,Maine,
Penobscot,Maine,
Piscataquis,Maine,
Sagadahoc,Maine,
Somerset,Maine,
Waldo,Maine,
Washington,Maine,
York,Maine,
Allegany,Maryland,
Anne Arundel,Maryland,
Baltimore,Maryland,
Calvert,Maryland,
Caroline,Maryland,
Carroll,Maryland,
Cecil,Maryland,
Charles,Maryland,
Dorchester,Maryland,
Frederick,Maryland,
Garrett,Maryland,
Harford,Maryland,
Howard,Maryland,
Kent,Maryland,
Montgomery,Maryland,
Prince George's,Maryland,
Queen Anne's,Maryland,
St. Mary's,Maryland,
Somerset,Maryland,
Talbot,Maryland,
Washington,Maryland,
Wicomico,Maryland,
Worcester,Maryland,
Baltimore City,Maryland,
Barnstable,Massachusetts,
Berkshire,Massachusetts,
Bristol,Massachusetts,
Dukes,Massachusetts,
Essex,Massachusetts,
Franklin,Massachusetts,
Hampden,Massachusetts,
Hampshire,Massachusetts,
Middlesex,Massachusetts,
Nantucket,Massachusetts,
Norfolk,Massachusetts,
Plymouth,Massachusetts,
Suffolk,Massachusetts,
Worcester,Massachusetts,
Alcona,Michigan,
Alger,Michigan,
Allegan,Michigan,
Alpena,Michigan,
Antrim,Michigan,
Arenac,Michigan,
Baraga,Michigan,
Barry,Michigan,
Bay,Michigan,
Benzie,Michigan,
Berrien,Michigan,
Branch,Michigan,
